§,firstname,lastname,memberOf,managerOf,disabled,password
ch.burbage,Charity,Burbage,Hogwarts/Staff/Professors,,false,JIZxz
r.hooch,Rolanda,Hooch,Hogwarts/Staff/Professors,,false,VmbKi
s.kettleburn,Silvanus,Kettleburn,Hogwarts/Staff/Professors,,false,tVxYS
g.lockhart,Gilderoy,Lockhart,Hogwarts/Staff/Professors,,false,asd123
a.sinistra,Aurora,Sinistra,Hogwarts/Staff/Professors,,false,top0f
s.vector,Septima,Vector,Hogwarts/Staff/Professors,,false,NJFjE
a.filch,Argus,Filch,Hogwarts/Staff/Auxiliary,,false,LUdDa
r.hagrid,Rubeus,Hagrid,Hogwarts/Staff/Auxiliary;Hogwarts/Staff/Professors,,false,asd123
i.pince,Irma,Pince,Hogwarts/Staff/Auxiliary,,false,ZnHa4
p.pomfrey,Poppy,Pomfrey,Hogwarts/Staff/Auxiliary,,false,bvYIK
